        Distribution of operon length

   gap        1   2   3  4  5  6 7 8 9 10
    				     
     0     2809 459 110 30  7  4 2 0 0  0
   			     
     1     2765 470 112 31  8  4 3 0 0  0
     2     2721 469 114 37 10  5 3 0 0  0
     3     2682 478 114 39 10  6 4 0 0  0
     4     2632 489 112 44 10  6 6 0 0  0
     5     2588 497 111 47 10  8 7 0 0  0
    				     
     6     2552 510 114 46 11  8 7 0 0  0
     7     2511 521 116 48 12  8 7 0 0  0
     8     2487 524 117 50 12  8 8 0 0  0
     9     2438 531 120 53 13  8 8 0 1  0
    10     2403 531 120 54 12 10 9 1 2  0
    				     
    11     2371 535 127 51 13 10 9 1 2  1
    12     2335 545 129 51 13 10 8 2 3  1
    13     2317 545 130 52 14 11 8 2 3  1
    14     2290 551 132 53 15 11 8 2 3  1
    15     2249 559 136 55 16 11 8 2 3  1
    				     
    16     2217 552 145 57 17 12 8 2 3  1
    17     2203 552 147 59 17 12 8 2 3  1
    18     2179 559 149 59 15 13 8 3 3  1
    19     2158 563 150 60 16 13 8 2 4  1
    20     2144 559 151 62 17 14 8 2 4  1
