"MT"	"TA"	"Unique"
1	31	0
2	31	0
3	35	1
4	7	0
5	40	0
6	45	0
7	10	0
9	4	0
10	4	0
11	7	0
12	4	0
13	10	0
14	3	0
15	16	0
16	15	0
17	24	0
18	16	0
19	36	1
20	27	0
21	25	0
22	13	0
23	51	0
24	22	0
25	3	0
26	12	0
27	12	1
28	4	1
29	14	0
30	5	0
30.1	4	0
32	8	0
33	9	0
34	5	0
35	1	0
36	6	0
37	56	0
38	3	0
39	5	0
40	25	2
40	25	1
41	4	0
42	19	1
43	7	2
44	4	0
46	9	0
47	72	0
48	5	0
49	10	0
50	20	2
50	20	1
51	7	0
52	16	0
53	7	0
54	16	1
54	16	2
55	8	0
56	41	0
57	34	0
58	7	0
59	6	0
60	5	0
61	4	0
62	7	0
63	15	0
64	38	0
65	20	0
66	23	0
66.1	6	0
66.2	4	1
67	21	1
68	23	0
69	1	0
70	68	0
71	8	0
72	38	1
72	38	1
73	12	0
74	12	0
75	12	0
76	18	0
77	8	1
78	16	1
79	15	1
80	19	1
81	24	0
82	3	0
83	15	0
84	8	0
85	10	0
85.1	2	0
86	14	0
87	4	0
88	5	1
89	7	0
90	23	0
91	9	0
92	4	0
93	15	0
95	20	0
96	15	0
98	10	0
99	12	1
99.1	5	0
100	11	0
101	30	0
102	8	0
103	12	0
104	10	0
105	34	0
106	26	0
107	11	0
108	32	1
109	3	0
110	122	1
111	42	0
112	30	0
113	27	0
114	5	0
115	12	0
116	63	0
116.1	4	0
117	2	0
118	29	0
119	17	1
120	42	0
121	31	0
122	26	0
123	18	0
124	3	0
125	14	0
125.1	17	0
126	26	0
127	13	0
128	27	1
129	11	0
130	11	0
131	8	0
132	15	0
133	10	0
134	30	2
135	30	0
136	19	0
137	30	1
138	4	0
139	18	0
140	15	0
141	7	0
142	12	0
143	11	0
144	23	0
145	11	0
146	6	0
147	12	0
148	15	1
149	9	0
150	6	0
151	27	0
152	14	0
153	15	0
154	16	0
155	26	0
156	16	0
157	21	0
158	4	0
160	44	1
161	40	3
161	40	1
162	11	0
163	12	1
164	12	0
165	14	0
167	16	0
168	50	1
169	42	0
170	19	0
171	16	0
172	10	0
173	8	0
174	6	0
175	24	1
176	7	0
177	9	0
178	44	4
178	44	1
178	44	1
179	18	0
180	25	0
181	33	2
182	16	1
183	31	0
184	9	0
185	15	0
186	12	0
187	11	4
188	22	0
189	28	0
190	15	0
191	21	0
192	18	0
193	11	0
194	10	0
195	34	0
196	3	0
197	7	0
198	10	0
199	23	0
200	3	0
201	19	0
202	13	1
203	34	1
203	34	2
203	34	3
203	34	1
204	58	1
204.1	4	0
205	7	0
206	7	0
207	31	0
208	42	0
209	12	0
210	7	0
211	8	0
212	39	1
213	3	0
214	19	0
215	12	1
215	12	2
216	34	0
217	9	0
218	12	0
219	15	0
220	12	0
221	24	0
222	6	0
223	31	1
224	34	0
225	20	0
226	23	0
227	21	0
228	19	0
229	11	0
230	24	0
231	26	1
231	26	1
231	26	1
231	26	1
232	7	0
233	24	1
234	15	0
235	20	0
236	29	0
237	23	0
238	14	0
239	16	1
240	18	1
240	18	1
241	36	6
241	36	1
241	36	2
242	9	0
244	11	1
245	20	0
246	27	0
247	38	0
250	9	0
251	13	0
252	13	1
252	13	1
253	2	0
254	9	0
255	16	1
256	11	0
257	20	2
258	23	1
258	23	1
259	4	0
260	33	1
261	12	0
262	38	0
263	23	0
264	4	0
265	5	0
266	41	2
267	6	0
268	15	0
269	32	0
270	2	0
270.1	3	0
270.2	2	0
